رقم السورة,السورة,English Name,البيان,الصفحة
75,سُورَةُ الْقِيَامَةِ,Al-Qiyamah,مَكِّيَّةٌ,577
76,سُورَةُ الْإِنْسَانِ,Al-Insan,مَدَنِيَّةٌ,578
77,سُورَةُ الْمُرْسَلَاتِ,Al-Mursalat,مَكِّيَّةٌ,580
78,سُورَةُ النَّبَإِ,An-Naba,مَكِّيَّةٌ,582
79,سُورَةُ النَّازِعَاتِ,An-Nazi'at,مَكِّيَّةٌ,583
80,سُورَةُ عَبَسَ,Abasa,مَكِّيَّةٌ,585
81,سُورَةُ التَّكْوِيرِ,At-Takwir,مَكِّيَّةٌ,586
82,سُورَةُ الِانْفِطَارِ,Al-Infitar,مَكِّيَّةٌ,587
83,سُورَةُ الْمُطَفِّفِينَ,Al-Mutaffifin,مَكِّيَّةٌ,587
84,سُورَةُ الِانْشِقَاقِ,Al-Inshiqaq,مَكِّيَّةٌ,589
85,سُورَةُ الْبُرُوجِ,Al-Buruj,مَكِّيَّةٌ,590
86,سُورَةُ الطَّارِقِ,At-Tariq,مَكِّيَّةٌ,591
87,سُورَةُ الْأَعْلَى,Al-A'la,مَكِّيَّةٌ,591
88,سُورَةُ الْغَاشِيَةِ,Al-Ghashiyah,مَكِّيَّةٌ,592
89,سُورَةُ الْفَجْرِ,Al-Fajr,مَكِّيَّةٌ,593
90,سُورَةُ الْبَلَدِ,Al-Balad,مَكِّيَّةٌ,594
91,سُورَةُ الشَّمْسِ,Ash-Shams,مَكِّيَّةٌ,595
92,سُورَةُ اللَّيْلِ,Al-Layl,مَكِّيَّةٌ,595
93,سُورَةُ الضُّحَى,Ad-Duha,مَكِّيَّةٌ,596
94,سُورَةُ الشَّرْحِ,Ash-Sharh,مَكِّيَّةٌ,596
95,سُورَةُ التِّينِ,At-Tin,مَكِّيَّةٌ,597
96,سُورَةُ الْعَلَقِ,Al-Alaq,مَكِّيَّةٌ,597
97,سُورَةُ الْقَدْرِ,Al-Qadr,مَكِّيَّةٌ,598
98,سُورَةُ الْبَيِّنَةِ,Al-Bayyinah,مَدَنِيَّةٌ,598
99,سُورَةُ الزَّلْزَلَةِ,Az-Zalzalah,مَدَنِيَّةٌ,599
100,سُورَةُ الْعَادِيَاتِ,Al-Adiyat,مَكِّيَّةٌ,599
101,سُورَةُ الْقَارِعَةِ,Al-Qari'ah,مَكِّيَّةٌ,600
102,سُورَةُ التَّكَاثُرِ,At-Takathur,مَكِّيَّةٌ,600
103,سُورَةُ الْعَصْرِ,Al-Asr,مَكِّيَّةٌ,601
104,سُورَةُ الْهُمَزَةِ,Al-Humazah,مَكِّيَّةٌ,601
105,سُورَةُ الْفِيلِ,Al-Fil,مَكِّيَّةٌ,601
106,سُورَةُ قُرَيْشٍ,Quraysh,مَكِّيَّةٌ,602
107,سُورَةُ الْمَاعُونِ,Al-Ma'un,مَكِّيَّةٌ,602
108,سُورَةُ الْكَوْثَرِ,Al-Kawthar,مَكِّيَّةٌ,602
109,سُورَةُ الْكَافِرُونَ,Al-Kafirun,مَكِّيَّةٌ,603
110,سُورَةُ النَّصْرِ,An-Nasr,مَدَنِيَّةٌ,603
111,سُورَةُ الْمَسَدِ,Al-Masad,مَكِّيَّةٌ,603
112,سُورَةُ الْإِخْلَاصِ,Al-Ikhlas,مَكِّيَّةٌ,604
113,سُورَةُ الْفَلَقِ,Al-Falaq,مَكِّيَّةٌ,604
114,سُورَةُ النَّاسِ,An-Nas,مَكِّيَّةٌ,604
